Thermocouple 0 (deg C)	Thermocouple 1 (deg C)	Thermocouple 2 (deg C)	Thermocouple 3 (deg C)
23.348	29.724	31.375	3.959
22.060	27.929	29.369	2.287
22.585	28.602	30.177	3.051
22.983	27.866	29.741	2.462
20.357	27.173	29.971	1.953
20.919	26.054	29.414	2.310
22.086	27.628	29.591	2.895
20.187	26.116	28.239	1.695
23.130	26.884	29.289	2.797
21.439	26.934	28.047	1.589
22.214	28.821	31.343	3.609
23.856	29.099	31.496	3.458
22.502	27.264	29.323	2.072
20.898	26.191	29.497	2.379
22.318	28.464	30.248	2.787
23.662	28.923	31.390	3.268
23.785	29.170	30.699	3.093
21.166	26.347	28.919	2.249
22.788	27.284	28.421	2.065
23.512	28.127	30.014	3.168
23.202	27.302	30.596	2.564
22.081	29.407	30.555	3.316
23.353	28.728	30.880	3.159
21.366	27.699	31.077	2.553
23.879	27.641	31.587	3.021
23.874	27.262	29.916	3.115
23.863	28.954	30.795	2.936
23.614	28.482	29.272	2.770
22.900	27.868	30.358	3.144
23.136	26.654	30.037	2.346
22.194	27.420	29.808	2.369
22.127	28.845	29.474	2.718
22.673	27.761	31.646	3.224
20.619	26.505	29.626	1.588
21.970	26.371	28.959	1.742
22.192	28.444	31.408	2.892
22.959	26.682	29.763	2.150
20.907	26.984	28.463	1.540
22.196	27.934	28.907	1.554
22.416	27.673	29.608	2.016
21.986	28.055	29.875	2.499
21.932	26.297	30.456	1.836
21.770	28.513	31.008	2.164
21.280	25.921	29.226	1.406
23.584	28.112	31.269	2.421
21.718	26.225	29.225	1.527
22.255	25.951	28.641	0.953
21.317	26.185	28.985	1.198
22.424	29.041	31.359	2.374
22.322	27.050	28.320	0.878
23.551	27.929	31.889	3.026
22.168	26.689	30.063	1.288
20.616	26.855	28.613	0.800
22.231	28.420	31.638	2.952
22.898	27.649	29.806	2.845
23.104	27.290	31.145	2.615
23.000	27.587	29.431	2.225
22.309	25.792	29.252	0.838
20.868	27.364	29.724	1.098
21.762	26.816	28.141	0.945
23.750	28.676	30.416	2.642
23.024	27.964	30.748	1.908
22.239	28.617	30.800	2.706
20.642	27.893	28.081	0.971
21.863	25.859	28.130	0.987
22.256	26.948	30.132	1.344
21.863	27.105	28.669	0.489
21.372	27.650	30.687	1.502
21.753	27.363	30.001	1.540
22.988	28.803	30.548	2.322
22.069	27.582	29.379	0.760
22.777	28.825	29.729	2.542
22.689	27.921	28.845	0.885
21.845	27.273	30.815	2.004
22.094	26.901	28.353	1.082
23.076	27.217	30.259	1.148
23.242	27.701	31.227	2.454
21.614	26.572	30.339	1.611
23.811	27.763	31.123	1.769
21.938	27.933	30.696	1.554
21.883	28.463	30.371	1.673
22.922	26.636	30.555	1.139
21.345	26.771	28.988	0.453
22.704	28.465	30.883	1.851
21.895	26.909	29.529	0.860
20.152	25.533	28.994	0.190
21.073	25.897	28.786	0.705
21.521	27.751	30.783	1.124
21.717	27.367	28.986	1.482
24.459	28.675	31.154	2.274
